numerical__CGPA,numerical__AptitudeTestScore,Cluster,Distance_From_Centroid,Outlier
7.21,71,0,0.44516560037603436,False
8.28,81,1,0.19097806496046785,False
8.26,74,1,0.5600693716963281,False
5.91,48,2,0.33720648793875546,False
7.03,61,0,0.18503915968630852,False
7.36,60,0,0.4141960858621171,False
8.24,75,1,0.5103638735509668,False
5.39,45,2,0.1650247036449762,False
6.15,67,0,0.656286412989082,False
8.21,87,1,0.2253551377064545,False
8.47,79,1,0.2802976455916141,False
5.09,24,2,1.1787850170817786,True
5.56,41,2,0.17632567901465931,False
7.26,60,0,0.3480077461700625,False
6.08,48,2,0.4541573156949307,False
5.34,47,2,0.2521795670688208,False
8.16,77,1,0.4305057726947618,False
5.21,54,2,0.6186959610180981,False
6.66,72,0,0.4894670858165102,False
8.64,92,1,0.48076483918405977,False
7.09,62,0,0.1713607884062869,False
8.09,92,1,0.5058975797128307,False
5.64,38,2,0.34262251403512345,False
6.59,58,0,0.4315345535303156,False
9.04,97,1,0.8839368211339096,False
8.31,73,1,0.6076930566245612,False
7.15,60,0,0.28452654072042616,False
8.9,82,1,0.4227882643697179,False
7.19,53,0,0.6409794476865867,False
7.54,77,1,0.7983481546584325,False
8.72,69,1,0.8633519329639233,False
8.14,81,1,0.26759125091195,False
8.87,100,1,0.9578848977749702,False
7.39,73,0,0.6184698989091386,False
5.4,48,2,0.25759172163725214,False
7.14,53,0,0.6286963262125927,False
6.53,70,0,0.46212876120910074,False
7.26,59,0,0.3851832570278338,False
5.49,52,2,0.4351725855969016,False
6.38,57,0,0.591327494706082,False
7.15,66,0,0.20922430601572398,False
5.34,59,2,0.8363679318624467,False
7.97,87,1,0.3863444911072309,False
8.28,82,1,0.1463891017086401,False
7.11,33,2,1.3860401884859552,True
5.43,40,2,0.26242365155581143,False
8.38,83,1,0.056982199758356784,False
7.94,89,1,0.4637755367281768,False
4.88,40,2,0.6188960357024196,False
7.93,66,0,0.8219142630938858,False
6.89,50,0,0.7702386374173449,False
5.91,55,2,0.649214674252279,False
8.41,92,1,0.43889592224665663,False
6.56,81,0,0.9784731579968343,False
6.96,58,0,0.3316332894484213,False
7.09,72,0,0.4561607005328879,False
5.56,37,2,0.39506755518362546,False
6.88,58,0,0.3332551553480654,False
5.91,60,0,0.8602047345776047,False
7.41,45,0,1.1146364523622199,True
5.4,37,2,0.4223855447800963,False
7.95,67,0,0.8468946181985232,False
9.24,82,1,0.6940984039832718,False
8.6,97,1,0.7316360347270011,False
8.01,88,1,0.3854824197747089,False
6.24,73,0,0.7472468025716723,False
8.45,85,1,0.06884305713543118,False
5.81,39,2,0.3387098001284753,False
6.51,58,0,0.47603885584837924,False
7.26,67,0,0.3143120826489848,False
8.35,78,1,0.33151097876899216,False
7.08,51,0,0.7250502087544519,False
5.87,44,2,0.232416455379693,False
8.57,85,1,0.14979455049427354,False
6.58,69,0,0.3946340572625709,False
7.24,75,0,0.6525480799217155,False
8.04,87,1,0.33561468101660447,False
8.93,61,1,1.333720698412097,True
6.56,57,0,0.48955449437259296,False
6.57,74,0,0.6206428721753563,False
8.76,85,1,0.29929121457290764,False
6.34,63,0,0.4842193248025188,False
8.32,85,1,0.08454271471487262,False
5.9,64,0,0.8394711898567137,False
5.05,50,2,0.5399882278130411,False
6.64,76,0,0.6978443056003107,False
5.22,60,2,0.9166456402347726,False
