numerical__CGPA,numerical__AptitudeTestScore,Cluster
7.21,71,0
8.28,81,0
8.26,74,0
5.91,48,1
7.03,61,1
7.36,60,1
8.24,75,0
5.39,45,1
6.15,67,0
8.21,87,0
8.47,79,0
5.09,24,1
5.56,41,1
7.26,60,1
6.08,48,1
5.34,47,1
8.16,77,0
5.21,54,1
6.66,72,0
8.64,92,0
7.09,62,1
8.09,92,0
5.64,38,1
6.59,58,1
9.04,97,0
8.31,73,0
7.15,60,1
8.9,82,0
7.19,53,1
7.54,77,0
8.72,69,0
8.14,81,0
8.87,100,0
7.39,73,0
5.4,48,1
7.14,53,1
6.53,70,0
7.26,59,1
5.49,52,1
6.38,57,1
7.15,66,0
5.34,59,1
7.97,87,0
8.28,82,0
7.11,33,1
5.43,40,1
8.38,83,0
7.94,89,0
4.88,40,1
7.93,66,0
6.89,50,1
5.91,55,1
8.41,92,0
6.56,81,0
6.96,58,1
7.09,72,0
5.56,37,1
6.88,58,1
5.91,60,1
7.41,45,1
5.4,37,1
7.95,67,0
9.24,82,0
8.6,97,0
8.01,88,0
6.24,73,0
8.45,85,0
5.81,39,1
6.51,58,1
7.26,67,0
8.35,78,0
7.08,51,1
5.87,44,1
8.57,85,0
6.58,69,0
7.24,75,0
8.04,87,0
8.93,61,1
6.56,57,1
6.57,74,0
8.76,85,0
6.34,63,1
8.32,85,0
5.9,64,1
5.05,50,1
6.64,76,0
5.22,60,1
8.58,100,0
5.49,36,1
8.43,86,0
8.53,79,0
5.83,47,1
6.59,64,1
8.08,79,0
8.31,88,0
5.99,57,1
5.81,37,1
9.13,86,0
8.65,87,0
6.78,56,1
8.41,64,1
8.49,82,0
6.29,47,1
4.52,47,1
8.36,69,0
6.57,40,1
8.31,83,0
8.06,77,0
6.46,86,0
5.42,31,1
6.14,47,1
8.7,88,0
5.71,44,1
5.92,43,1
7.11,71,0
6.38,55,1
8.83,78,0
7.91,83,0
5.81,49,1
8.26,85,0
8.8,70,0
6.87,83,0
5.15,35,1
5.95,45,1
8.54,73,0
7.93,82,0
5.0,37,1
5.79,31,1
7.17,46,1
8.58,84,0
5.77,46,1
8.92,76,0
7.48,86,0
5.68,45,1
8.38,100,0
7.26,66,0
9.11,98,0
7.41,62,1
8.74,74,0
7.53,65,1
5.55,37,1
5.66,67,0
4.89,47,1
7.79,91,0
7.13,88,0
8.83,84,0
8.81,83,0
7.31,52,1
7.39,67,0
7.12,49,1
5.84,54,1
5.8,39,1
7.33,72,0
8.31,86,0
7.73,81,0
8.89,81,0
6.05,50,1
7.28,51,1
8.63,88,0
6.2,75,0
5.51,37,1
6.31,55,1
5.2,45,1
6.55,40,1
8.02,89,0
8.91,90,0
7.73,58,1
8.63,91,0
5.09,28,1
8.63,86,0
8.64,94,0
6.4,58,1
8.41,93,0
8.38,80,0
5.09,50,1
5.54,32,1
6.43,66,0
7.72,86,0
5.65,42,1
5.16,63,1
8.44,97,0
8.23,96,0
5.19,43,1
7.18,79,0
5.25,60,1
7.17,74,0
6.62,74,0
7.24,78,0
7.24,54,1
7.13,62,1
7.43,64,1
5.22,57,1
9.09,86,0
5.81,55,1
7.65,76,0
7.01,60,1
7.81,79,0
7.58,65,1
5.43,37,1
6.96,70,0
