numerical__CGPA,numerical__AptitudeTestScore
7.21,71
8.28,81
8.26,74
5.91,48
7.03,61
7.36,60
8.24,75
5.39,45
6.15,67
8.21,87
8.47,79
5.09,24
5.56,41
7.26,60
6.08,48
5.34,47
8.16,77
5.21,54
6.66,72
8.64,92
7.09,62
8.09,92
5.64,38
6.59,58
9.04,97
8.31,73
7.15,60
8.9,82
7.19,53
7.54,77
8.72,69
8.14,81
8.87,100
7.39,73
5.4,48
7.14,53
6.53,70
7.26,59
5.49,52
6.38,57
7.15,66
5.34,59
7.97,87
8.28,82
7.11,33
5.43,40
8.38,83
7.94,89
4.88,40
7.93,66
6.89,50
5.91,55
8.41,92
6.56,81
6.96,58
7.09,72
5.56,37
6.88,58
5.91,60
7.41,45
5.4,37
7.95,67
9.24,82
8.6,97
8.01,88
6.24,73
8.45,85
5.81,39
6.51,58
7.26,67
8.35,78
7.08,51
5.87,44
8.57,85
6.58,69
7.24,75
8.04,87
8.93,61
6.56,57
6.57,74
8.76,85
6.34,63
8.32,85
5.9,64
5.05,50
6.64,76
5.22,60
8.58,100
5.49,36
8.43,86
8.53,79
5.83,47
6.59,64
8.08,79
8.31,88
5.99,57
5.81,37
9.13,86
8.65,87
6.78,56
8.41,64
8.49,82
6.29,47
4.52,47
8.36,69
6.57,40
8.31,83
8.06,77
6.46,86
5.42,31
6.14,47
8.7,88
5.71,44
5.92,43
7.11,71
6.38,55
8.83,78
7.91,83
5.81,49
8.26,85
8.8,70
6.87,83
5.15,35
5.95,45
8.54,73
7.93,82
5.0,37
5.79,31
7.17,46
8.58,84
5.77,46
8.92,76
7.48,86
5.68,45
8.38,100
7.26,66
9.11,98
7.41,62
8.74,74
7.53,65
5.55,37
5.66,67
4.89,47
7.79,91
7.13,88
8.83,84
8.81,83
7.31,52
7.39,67
7.12,49
5.84,54
5.8,39
7.33,72
8.31,86
7.73,81
8.89,81
6.05,50
7.28,51
8.63,88
6.2,75
5.51,37
6.31,55
5.2,45
6.55,40
8.02,89
8.91,90
7.73,58
8.63,91
5.09,28
8.63,86
8.64,94
6.4,58
8.41,93
8.38,80
5.09,50
5.54,32
6.43,66
7.72,86
5.65,42
5.16,63
8.44,97
8.23,96
5.19,43
7.18,79
5.25,60
7.17,74
6.62,74
7.24,78
7.24,54
7.13,62
7.43,64
5.22,57
9.09,86
5.81,55
7.65,76
7.01,60
7.81,79
7.58,65
5.43,37
6.96,70
